employee_id,score,survey_date,feedback
82,8,2026-01-09,Great company!
83,10,2026-01-25,Excellent benefits
84,9,2026-01-19,Great company!
85,3,2026-02-06,Work-life balance is okay
86,5,2026-01-23,Growth opportunities are good
87,10,2026-01-30,Great company!
88,7,2026-01-10,Need better coffee
89,4,2026-02-04,Love the culture
90,8,2026-01-27,Need better coffee
91,9,2026-01-12,Work-life balance is okay
92,3,2026-01-13,Growth opportunities are good
93,7,2026-01-18,Work-life balance is okay
94,10,2026-01-12,Work-life balance is okay
95,5,2026-02-04,Growth opportunities are good
96,10,2026-01-18,Love the culture
97,10,2026-02-04,Excellent benefits
98,10,2026-01-25,Work-life balance is okay
99,8,2026-01-31,Work-life balance is okay
100,10,2026-02-05,Need better coffee
101,4,2026-01-27,Love the culture
102,7,2026-01-08,Great company!
103,8,2026-01-11,Love the culture
104,1,2026-02-03,Need better coffee
105,6,2026-01-17,Excellent benefits
106,8,2026-01-28,Work-life balance is okay
107,10,2026-01-23,Need better coffee
108,8,2026-01-19,Work-life balance is okay
109,10,2026-01-27,Growth opportunities are good
110,8,2026-02-03,Need better coffee
111,9,2026-02-04,Excellent benefits
112,8,2026-02-04,Work-life balance is okay
113,9,2026-02-05,Need better coffee
114,10,2026-01-13,Growth opportunities are good
115,9,2026-02-01,Need better coffee
116,6,2026-01-30,Great company!
117,10,2026-01-09,Great company!
118,7,2026-01-24,Need better coffee
119,7,2026-01-15,Work-life balance is okay
120,10,2026-01-30,Love the culture
121,9,2026-01-25,Need better coffee
122,10,2026-01-13,Great company!
123,8,2026-01-29,Excellent benefits
124,7,2026-01-21,Love the culture
125,9,2026-01-16,Great company!
126,9,2026-01-11,Growth opportunities are good
127,7,2026-01-26,Need better coffee
128,7,2026-01-22,Love the culture
129,7,2026-01-23,Excellent benefits
130,10,2026-02-01,Need better coffee
131,9,2026-01-18,Work-life balance is okay
132,9,2026-01-12,Growth opportunities are good
133,10,2026-01-22,Great company!
134,10,2026-02-04,Love the culture
135,8,2026-01-20,Love the culture
136,7,2026-01-13,Love the culture
137,8,2026-01-17,Great company!
138,9,2026-01-29,Great company!
139,9,2026-02-05,Work-life balance is okay
140,10,2026-01-12,Love the culture
141,6,2026-01-31,Great company!
142,8,2026-01-27,Love the culture
143,8,2026-01-27,Growth opportunities are good
144,8,2026-01-17,Need better coffee
145,8,2026-01-15,Work-life balance is okay
146,8,2026-01-25,Great company!
147,9,2026-01-19,Great company!
148,10,2026-01-16,Great company!
149,10,2026-01-25,Growth opportunities are good
150,8,2026-01-31,Work-life balance is okay
151,6,2026-01-15,Great company!
152,7,2026-01-20,Growth opportunities are good
153,5,2026-01-26,Work-life balance is okay
154,10,2026-01-31,Growth opportunities are good
155,8,2026-01-26,Need better coffee
156,8,2026-02-01,Need better coffee
157,9,2026-01-10,Work-life balance is okay
158,9,2026-01-27,Great company!
159,9,2026-01-12,Love the culture
160,7,2026-01-10,Great company!
161,4,2026-01-11,Love the culture
162,9,2026-01-23,Need better coffee
163,8,2026-01-30,Work-life balance is okay
164,10,2026-01-25,Excellent benefits
165,10,2026-02-06,Work-life balance is okay
166,7,2026-01-08,Excellent benefits
167,7,2026-01-28,Great company!
168,2,2026-01-31,Need better coffee
169,10,2026-02-05,Work-life balance is okay
170,2,2026-02-01,Love the culture
171,10,2026-01-17,Excellent benefits
172,9,2026-02-04,Work-life balance is okay
173,8,2026-01-20,Work-life balance is okay
174,1,2026-01-28,Need better coffee
175,2,2026-01-17,Excellent benefits
176,9,2026-02-05,Love the culture
177,10,2026-01-16,Need better coffee
178,8,2026-01-13,Excellent benefits
179,1,2026-01-28,Need better coffee
180,10,2026-02-01,Growth opportunities are good
181,6,2026-01-08,Need better coffee
182,9,2026-01-26,Work-life balance is okay
183,7,2026-01-22,Great company!
184,8,2026-01-29,Growth opportunities are good
185,8,2026-02-03,Growth opportunities are good
186,10,2026-01-22,Work-life balance is okay
187,6,2026-01-12,Need better coffee
188,1,2026-01-26,Work-life balance is okay
189,5,2026-01-13,Work-life balance is okay
190,7,2026-01-10,Growth opportunities are good
191,0,2026-01-15,Work-life balance is okay
192,9,2026-01-27,Work-life balance is okay
193,9,2026-01-08,Growth opportunities are good
194,9,2026-01-18,Great company!
195,2,2026-01-19,Growth opportunities are good
196,5,2026-01-30,Love the culture
197,8,2026-01-27,Growth opportunities are good
198,9,2026-01-19,Excellent benefits
199,5,2026-02-05,Great company!
200,10,2026-01-12,Excellent benefits
201,8,2026-02-06,Love the culture
202,10,2026-01-25,Need better coffee
203,9,2026-01-17,Need better coffee
204,8,2026-01-26,Love the culture
205,7,2026-01-24,Work-life balance is okay
206,10,2026-01-11,Growth opportunities are good
207,10,2026-01-29,Love the culture
208,5,2026-02-04,Need better coffee
209,10,2026-01-10,Growth opportunities are good
210,0,2026-02-03,Love the culture
211,8,2026-02-01,Great company!
212,3,2026-01-28,Need better coffee
213,7,2026-01-08,Great company!
214,6,2026-01-16,Work-life balance is okay
215,1,2026-01-11,Need better coffee
216,10,2026-01-31,Work-life balance is okay
217,8,2026-01-24,Excellent benefits
218,8,2026-01-27,Need better coffee
219,9,2026-01-13,Work-life balance is okay
220,10,2026-01-16,Excellent benefits
221,10,2026-01-20,Excellent benefits
222,10,2026-01-10,Excellent benefits
223,8,2026-01-08,Work-life balance is okay
224,3,2026-01-09,Work-life balance is okay
225,10,2026-02-02,Need better coffee
226,3,2026-01-24,Love the culture
227,10,2026-02-03,Great company!
228,10,2026-01-18,Excellent benefits
229,8,2026-01-28,Growth opportunities are good
230,9,2026-01-23,Need better coffee
231,9,2026-01-10,Work-life balance is okay
232,8,2026-01-15,Love the culture
233,10,2026-01-08,Work-life balance is okay
234,9,2026-01-10,Growth opportunities are good
235,9,2026-01-12,Great company!
236,9,2026-01-14,Work-life balance is okay
237,1,2026-01-21,Great company!
238,4,2026-02-05,Growth opportunities are good
239,6,2026-01-20,Love the culture
240,8,2026-02-02,Excellent benefits
241,8,2026-01-15,Work-life balance is okay
242,1,2026-01-21,Growth opportunities are good
243,7,2026-01-29,Great company!
244,8,2026-01-26,Need better coffee
245,4,2026-01-22,Excellent benefits
246,9,2026-01-23,Work-life balance is okay
247,8,2026-01-16,Work-life balance is okay
248,9,2026-01-09,Great company!
249,10,2026-02-01,Growth opportunities are good
250,7,2026-01-20,Need better coffee
251,10,2026-01-14,Growth opportunities are good
252,8,2026-01-20,Need better coffee
253,4,2026-01-31,Need better coffee
254,9,2026-01-22,Need better coffee
255,8,2026-01-26,Excellent benefits
256,8,2026-01-08,Need better coffee
257,10,2026-02-04,Work-life balance is okay
258,8,2026-02-03,Excellent benefits
259,7,2026-01-25,Need better coffee
260,9,2026-01-23,Work-life balance is okay
261,8,2026-01-10,Love the culture
262,10,2026-01-12,Love the culture
263,5,2026-02-01,Great company!
264,9,2026-01-30,Great company!
265,10,2026-01-29,Excellent benefits
266,9,2026-01-28,Growth opportunities are good
267,7,2026-01-23,Growth opportunities are good
268,9,2026-02-06,Excellent benefits
269,4,2026-01-19,Excellent benefits
270,5,2026-01-29,Great company!
271,5,2026-01-20,Excellent benefits
272,10,2026-01-16,Excellent benefits
273,9,2026-02-05,Excellent benefits
274,8,2026-01-29,Excellent benefits
275,9,2026-01-21,Need better coffee
276,10,2026-01-31,Excellent benefits
277,9,2026-01-21,Excellent benefits
278,8,2026-01-10,Need better coffee
279,10,2026-01-11,Work-life balance is okay
280,9,2026-01-17,Growth opportunities are good
281,10,2026-02-05,Excellent benefits
282,7,2026-01-25,Great company!
283,10,2026-02-04,Love the culture
284,10,2026-01-31,Excellent benefits
285,4,2026-01-26,Love the culture
286,9,2026-01-20,Need better coffee
287,9,2026-01-17,Work-life balance is okay
288,7,2026-01-17,Excellent benefits
289,9,2026-01-10,Growth opportunities are good
290,5,2026-01-09,Great company!
291,3,2026-01-18,Excellent benefits
292,1,2026-01-31,Love the culture
293,7,2026-01-17,Great company!
294,10,2026-01-25,Need better coffee
295,2,2026-02-02,Excellent benefits
296,8,2026-01-17,Need better coffee
297,7,2026-02-03,Excellent benefits
298,8,2026-02-01,Love the culture
299,10,2026-01-14,Excellent benefits
300,8,2026-01-16,Need better coffee
301,7,2026-01-27,Excellent benefits
302,9,2026-01-10,Growth opportunities are good
303,8,2026-01-13,Work-life balance is okay
304,8,2026-01-24,Great company!
305,8,2026-01-21,Great company!
306,8,2026-01-25,Great company!
307,9,2026-01-23,Growth opportunities are good
308,9,2026-01-27,Work-life balance is okay
309,8,2026-01-27,Need better coffee
310,8,2026-01-26,Growth opportunities are good
311,10,2026-02-05,Growth opportunities are good
312,7,2026-01-26,Excellent benefits
313,8,2026-01-29,Excellent benefits
314,10,2026-01-30,Excellent benefits
315,8,2026-01-31,Love the culture
316,8,2026-01-29,Growth opportunities are good
317,9,2026-01-16,Growth opportunities are good
318,9,2026-01-26,Growth opportunities are good
319,8,2026-01-22,Growth opportunities are good
320,7,2026-01-16,Great company!
321,9,2026-01-09,Work-life balance is okay
322,3,2026-01-18,Need better coffee
323,8,2026-02-01,Love the culture
324,6,2026-01-13,Growth opportunities are good
325,3,2026-01-30,Love the culture
326,10,2026-01-27,Great company!
327,0,2026-01-23,Love the culture
328,10,2026-01-23,Work-life balance is okay
329,8,2026-01-26,Great company!
330,10,2026-01-24,Work-life balance is okay
331,4,2026-02-04,Love the culture
332,10,2026-01-31,Need better coffee
333,10,2026-02-02,Need better coffee
334,8,2026-02-04,Growth opportunities are good
335,10,2026-01-12,Love the culture
336,8,2026-01-11,Love the culture
337,10,2026-01-28,Excellent benefits
338,5,2026-01-22,Love the culture
339,9,2026-01-22,Excellent benefits
340,8,2026-01-08,Love the culture
341,7,2026-01-18,Growth opportunities are good
342,8,2026-01-19,Growth opportunities are good
343,9,2026-01-08,Love the culture
344,10,2026-01-08,Great company!
345,5,2026-02-01,Love the culture
346,1,2026-01-22,Great company!
347,10,2026-02-02,Growth opportunities are good
348,9,2026-01-30,Growth opportunities are good
349,10,2026-01-09,Need better coffee
350,9,2026-01-14,Work-life balance is okay
351,8,2026-01-18,Need better coffee
352,8,2026-02-02,Excellent benefits
353,5,2026-01-30,Growth opportunities are good
354,8,2026-01-08,Work-life balance is okay
355,10,2026-01-12,Excellent benefits
356,9,2026-01-28,Growth opportunities are good
357,7,2026-01-20,Excellent benefits
358,10,2026-01-22,Love the culture
359,10,2026-01-15,Need better coffee
360,2,2026-01-20,Need better coffee
361,10,2026-01-26,Excellent benefits
362,7,2026-01-08,Need better coffee
363,7,2026-01-31,Excellent benefits
364,10,2026-01-20,Great company!
365,9,2026-01-21,Work-life balance is okay
366,7,2026-01-19,Great company!
367,8,2026-01-08,Excellent benefits
368,8,2026-01-28,Growth opportunities are good
369,8,2026-02-02,Need better coffee
370,10,2026-01-28,Work-life balance is okay
371,10,2026-01-18,Love the culture
372,7,2026-01-28,Great company!
373,10,2026-02-01,Love the culture
374,10,2026-01-09,Love the culture
375,9,2026-01-21,Love the culture
376,2,2026-02-04,Great company!
377,8,2026-01-09,Growth opportunities are good
378,8,2026-01-15,Need better coffee
379,8,2026-01-27,Excellent benefits
380,7,2026-01-19,Work-life balance is okay
381,9,2026-01-23,Growth opportunities are good
382,8,2026-01-24,Work-life balance is okay
383,7,2026-01-12,Excellent benefits
384,10,2026-01-10,Work-life balance is okay
385,7,2026-02-02,Excellent benefits
386,10,2026-01-27,Work-life balance is okay
387,8,2026-01-19,Great company!
388,9,2026-01-29,Excellent benefits
389,8,2026-01-22,Excellent benefits
390,9,2026-01-18,Growth opportunities are good
391,8,2026-01-09,Work-life balance is okay
392,8,2026-02-03,Growth opportunities are good
393,8,2026-01-20,Work-life balance is okay
394,8,2026-01-17,Growth opportunities are good
395,7,2026-02-06,Great company!
396,9,2026-01-19,Excellent benefits
397,4,2026-01-12,Need better coffee
398,9,2026-01-09,Work-life balance is okay
399,0,2026-01-20,Excellent benefits
400,9,2026-01-17,Growth opportunities are good
401,9,2026-01-31,Excellent benefits
402,8,2026-01-24,Love the culture
403,5,2026-01-10,Great company!
404,10,2026-01-18,Great company!
405,3,2026-01-16,Growth opportunities are good
406,9,2026-02-02,Excellent benefits
407,6,2026-02-01,Growth opportunities are good
408,9,2026-01-23,Need better coffee
409,10,2026-01-24,Work-life balance is okay
410,8,2026-01-22,Growth opportunities are good
411,10,2026-01-18,Great company!
412,4,2026-01-11,Excellent benefits
413,9,2026-01-26,Excellent benefits
414,4,2026-01-17,Growth opportunities are good
415,1,2026-01-31,Great company!
416,7,2026-01-08,Growth opportunities are good
417,9,2026-01-30,Love the culture
418,2,2026-02-01,Work-life balance is okay
419,9,2026-01-08,Excellent benefits
420,8,2026-01-19,Excellent benefits
421,10,2026-01-18,Excellent benefits
422,7,2026-01-10,Work-life balance is okay
423,8,2026-01-21,Great company!
424,5,2026-01-13,Excellent benefits
425,1,2026-01-16,Need better coffee
426,10,2026-01-10,Growth opportunities are good
427,7,2026-01-15,Need better coffee
428,3,2026-01-26,Great company!
429,9,2026-01-28,Growth opportunities are good
430,9,2026-02-02,Excellent benefits
431,9,2026-01-14,Need better coffee
432,10,2026-02-05,Great company!
433,3,2026-02-01,Love the culture
434,10,2026-01-16,Work-life balance is okay
435,9,2026-01-18,Love the culture
436,8,2026-01-18,Excellent benefits
437,8,2026-01-27,Love the culture
438,8,2026-01-16,Excellent benefits
439,8,2026-01-13,Excellent benefits
440,10,2026-02-01,Need better coffee
441,10,2026-01-23,Great company!
442,9,2026-01-22,Excellent benefits
443,6,2026-01-25,Excellent benefits
444,6,2026-01-20,Excellent benefits
445,10,2026-01-23,Excellent benefits
446,0,2026-01-27,Excellent benefits
447,7,2026-01-29,Excellent benefits
448,8,2026-02-04,Excellent benefits
449,8,2026-01-30,Excellent benefits
450,10,2026-01-17,Great company!
451,7,2026-02-03,Growth opportunities are good
452,8,2026-01-14,Work-life balance is okay
453,2,2026-01-13,Need better coffee
454,9,2026-01-15,Great company!
455,10,2026-01-29,Excellent benefits
456,8,2026-01-12,Great company!
457,9,2026-01-30,Growth opportunities are good
458,9,2026-02-06,Work-life balance is okay
459,4,2026-01-25,Great company!
460,7,2026-01-31,Excellent benefits
461,0,2026-01-28,Excellent benefits
462,9,2026-01-19,Great company!
463,10,2026-01-15,Love the culture
464,9,2026-01-30,Growth opportunities are good
465,9,2026-02-01,Work-life balance is okay
466,9,2026-01-24,Growth opportunities are good
467,9,2026-02-04,Work-life balance is okay
468,10,2026-01-21,Excellent benefits
469,2,2026-01-16,Love the culture
470,9,2026-01-14,Need better coffee
471,7,2026-02-04,Excellent benefits
472,8,2026-01-21,Growth opportunities are good
473,5,2026-02-06,Love the culture
474,0,2026-01-20,Work-life balance is okay
475,10,2026-01-26,Growth opportunities are good
476,9,2026-01-10,Great company!
477,6,2026-01-13,Need better coffee
478,2,2026-01-24,Love the culture
479,9,2026-02-01,Work-life balance is okay
480,6,2026-01-12,Growth opportunities are good
481,10,2026-01-20,Work-life balance is okay
482,9,2026-01-12,Excellent benefits
483,10,2026-01-26,Work-life balance is okay
484,1,2026-01-09,Work-life balance is okay
485,7,2026-01-21,Great company!
486,2,2026-01-27,Great company!
487,10,2026-02-05,Great company!
488,7,2026-01-31,Work-life balance is okay
489,9,2026-01-24,Work-life balance is okay
490,8,2026-01-24,Excellent benefits
491,9,2026-01-29,Work-life balance is okay
492,8,2026-01-20,Need better coffee
493,9,2026-02-01,Love the culture
494,10,2026-01-31,Love the culture
495,8,2026-01-24,Great company!
496,8,2026-02-03,Need better coffee
497,9,2026-01-10,Need better coffee
498,9,2026-01-24,Excellent benefits
499,8,2026-01-17,Excellent benefits
500,10,2026-01-23,Growth opportunities are good
501,8,2026-02-05,Growth opportunities are good
502,9,2026-01-13,Work-life balance is okay
503,6,2026-01-08,Excellent benefits
504,6,2026-01-14,Great company!
505,2,2026-01-31,Great company!
506,8,2026-01-20,Great company!
507,9,2026-01-16,Need better coffee
508,1,2026-01-12,Growth opportunities are good
509,9,2026-01-25,Excellent benefits
510,8,2026-01-24,Need better coffee
511,10,2026-01-18,Need better coffee
512,7,2026-01-28,Love the culture
513,8,2026-02-06,Great company!
514,9,2026-01-11,Need better coffee
515,7,2026-01-09,Work-life balance is okay
516,1,2026-01-30,Love the culture
517,9,2026-01-19,Love the culture
518,9,2026-02-03,Love the culture
519,9,2026-02-01,Growth opportunities are good
520,10,2026-02-04,Great company!
521,5,2026-02-03,Love the culture
522,7,2026-01-14,Love the culture
523,10,2026-01-25,Love the culture
524,4,2026-01-11,Great company!
525,6,2026-01-11,Need better coffee
526,8,2026-01-19,Growth opportunities are good
527,1,2026-01-24,Work-life balance is okay
528,9,2026-02-04,Love the culture
529,0,2026-01-12,Work-life balance is okay
530,0,2026-01-15,Work-life balance is okay
531,5,2026-01-28,Need better coffee
532,10,2026-01-27,Work-life balance is okay
533,9,2026-02-01,Work-life balance is okay
534,10,2026-01-20,Love the culture
535,8,2026-01-24,Great company!
536,9,2026-02-04,Work-life balance is okay
537,9,2026-01-24,Great company!
538,8,2026-02-04,Work-life balance is okay
539,7,2026-01-23,Work-life balance is okay
540,9,2026-01-09,Love the culture
541,4,2026-01-09,Excellent benefits
542,2,2026-01-20,Work-life balance is okay
543,9,2026-01-27,Excellent benefits
544,1,2026-01-09,Work-life balance is okay
545,9,2026-01-24,Need better coffee
546,8,2026-01-28,Growth opportunities are good
547,2,2026-01-12,Growth opportunities are good
548,9,2026-01-10,Growth opportunities are good
549,7,2026-01-26,Need better coffee
550,9,2026-01-22,Love the culture
551,1,2026-02-04,Great company!
552,5,2026-01-11,Love the culture
553,0,2026-02-04,Work-life balance is okay
554,9,2026-01-10,Need better coffee
555,8,2026-01-24,Excellent benefits
556,10,2026-01-20,Great company!
557,7,2026-01-29,Need better coffee
558,8,2026-02-01,Growth opportunities are good
559,9,2026-02-01,Excellent benefits
560,9,2026-01-12,Excellent benefits
561,6,2026-01-19,Work-life balance is okay
562,4,2026-02-03,Work-life balance is okay
563,10,2026-01-24,Work-life balance is okay
564,2,2026-01-18,Growth opportunities are good
565,8,2026-01-19,Great company!
566,10,2026-01-22,Great company!
567,10,2026-01-30,Need better coffee
568,10,2026-01-14,Need better coffee
569,1,2026-01-31,Work-life balance is okay
570,8,2026-01-17,Love the culture
571,1,2026-01-14,Great company!
572,9,2026-01-19,Growth opportunities are good
573,2,2026-02-03,Growth opportunities are good
574,7,2026-01-10,Excellent benefits
575,10,2026-01-26,Love the culture
576,8,2026-01-08,Growth opportunities are good
577,0,2026-01-30,Need better coffee
578,6,2026-02-01,Growth opportunities are good
579,10,2026-01-31,Work-life balance is okay
580,9,2026-01-28,Excellent benefits
581,9,2026-02-06,Work-life balance is okay
582,10,2026-01-09,Need better coffee
583,9,2026-01-17,Growth opportunities are good
584,10,2026-02-05,Great company!
585,9,2026-01-11,Love the culture
586,10,2026-01-14,Great company!
587,10,2026-01-13,Growth opportunities are good
588,7,2026-01-10,Love the culture
589,9,2026-01-22,Great company!
590,8,2026-01-25,Excellent benefits
591,9,2026-02-05,Growth opportunities are good
592,4,2026-01-24,Need better coffee
593,4,2026-01-28,Excellent benefits
594,4,2026-02-02,Excellent benefits
595,5,2026-01-08,Need better coffee
596,8,2026-02-05,Growth opportunities are good
597,4,2026-01-15,Work-life balance is okay
598,9,2026-02-01,Love the culture
599,10,2026-01-13,Growth opportunities are good
600,6,2026-01-19,Work-life balance is okay
601,0,2026-01-08,Growth opportunities are good
602,10,2026-01-28,Growth opportunities are good
603,0,2026-01-10,Excellent benefits
604,7,2026-01-25,Need better coffee
605,10,2026-01-13,Work-life balance is okay
606,8,2026-01-21,Love the culture
607,9,2026-01-15,Love the culture
608,10,2026-01-15,Love the culture
609,0,2026-01-24,Work-life balance is okay
610,7,2026-01-15,Love the culture
611,9,2026-01-26,Growth opportunities are good
612,10,2026-01-29,Excellent benefits
613,9,2026-01-17,Need better coffee
614,8,2026-02-01,Growth opportunities are good
615,2,2026-01-08,Growth opportunities are good
616,7,2026-01-13,Love the culture
617,10,2026-01-28,Excellent benefits
618,3,2026-01-23,Great company!
619,0,2026-01-25,Need better coffee
620,8,2026-01-16,Need better coffee
621,5,2026-01-14,Great company!
622,1,2026-02-05,Love the culture
623,8,2026-01-23,Great company!
624,8,2026-01-18,Great company!
625,10,2026-01-14,Great company!
626,9,2026-01-14,Growth opportunities are good
627,8,2026-02-04,Need better coffee
628,10,2026-01-24,Love the culture
629,0,2026-01-17,Excellent benefits
630,7,2026-01-23,Growth opportunities are good
631,10,2026-01-11,Work-life balance is okay
632,5,2026-01-22,Excellent benefits
633,3,2026-01-15,Great company!
634,4,2026-02-03,Growth opportunities are good
635,4,2026-01-23,Work-life balance is okay
636,10,2026-02-04,Great company!
637,9,2026-02-01,Love the culture
638,7,2026-01-31,Need better coffee
639,9,2026-01-22,Love the culture
640,8,2026-02-02,Great company!
641,9,2026-01-18,Excellent benefits
642,10,2026-01-17,Excellent benefits
643,10,2026-02-02,Work-life balance is okay
644,1,2026-01-23,Growth opportunities are good
645,5,2026-01-13,Need better coffee
646,10,2026-01-12,Excellent benefits
647,1,2026-01-19,Love the culture
648,3,2026-02-06,Growth opportunities are good
649,10,2026-01-30,Love the culture
650,9,2026-02-01,Great company!
651,9,2026-01-25,Need better coffee
652,10,2026-01-14,Growth opportunities are good
653,7,2026-01-22,Need better coffee
654,4,2026-02-02,Work-life balance is okay
655,9,2026-01-21,Work-life balance is okay
656,9,2026-01-21,Excellent benefits
657,10,2026-01-09,Excellent benefits
658,9,2026-01-10,Work-life balance is okay
659,9,2026-01-17,Great company!
660,8,2026-01-14,Growth opportunities are good
661,10,2026-01-22,Work-life balance is okay
662,8,2026-01-09,Excellent benefits
663,10,2026-01-29,Work-life balance is okay
664,9,2026-02-06,Excellent benefits
665,1,2026-01-24,Need better coffee
666,10,2026-01-25,Excellent benefits
667,8,2026-01-14,Growth opportunities are good
668,8,2026-02-03,Need better coffee
669,9,2026-01-26,Excellent benefits
670,9,2026-01-14,Work-life balance is okay
671,8,2026-01-12,Growth opportunities are good
672,9,2026-01-29,Excellent benefits
673,3,2026-01-24,Need better coffee
674,10,2026-01-27,Need better coffee
675,3,2026-01-14,Love the culture
676,7,2026-01-28,Love the culture
677,8,2026-01-26,Excellent benefits
678,10,2026-01-17,Need better coffee
679,8,2026-01-12,Growth opportunities are good
680,8,2026-02-05,Work-life balance is okay
681,6,2026-02-05,Excellent benefits
682,9,2026-01-13,Need better coffee
683,8,2026-01-31,Excellent benefits
684,10,2026-01-11,Excellent benefits
685,8,2026-01-24,Great company!
686,8,2026-01-26,Growth opportunities are good
687,10,2026-01-29,Love the culture
688,10,2026-01-09,Work-life balance is okay
689,9,2026-01-17,Love the culture
690,7,2026-01-18,Love the culture
691,8,2026-01-28,Growth opportunities are good
692,8,2026-01-23,Excellent benefits
693,9,2026-01-21,Excellent benefits
694,9,2026-01-26,Excellent benefits
695,9,2026-01-16,Need better coffee
696,10,2026-01-24,Work-life balance is okay
697,9,2026-01-22,Excellent benefits
698,2,2026-01-27,Love the culture
699,5,2026-02-05,Work-life balance is okay
700,1,2026-01-20,Growth opportunities are good
701,3,2026-01-28,Love the culture
702,7,2026-01-10,Excellent benefits
703,9,2026-02-02,Need better coffee
704,8,2026-02-04,Love the culture
705,10,2026-01-14,Work-life balance is okay
706,9,2026-02-01,Love the culture
707,5,2026-01-08,Excellent benefits
708,7,2026-02-02,Love the culture
709,8,2026-01-18,Growth opportunities are good
710,1,2026-01-23,Great company!
711,8,2026-01-09,Excellent benefits
712,7,2026-01-10,Work-life balance is okay
713,10,2026-01-10,Great company!
714,10,2026-01-30,Work-life balance is okay
715,2,2026-02-02,Work-life balance is okay
716,8,2026-01-30,Growth opportunities are good
717,10,2026-02-02,Excellent benefits
718,10,2026-01-16,Need better coffee
719,1,2026-01-31,Work-life balance is okay
720,7,2026-01-24,Great company!
721,7,2026-02-01,Need better coffee
722,10,2026-02-05,Work-life balance is okay
723,7,2026-01-13,Need better coffee
724,8,2026-01-29,Excellent benefits
725,10,2026-01-11,Growth opportunities are good
726,8,2026-01-20,Work-life balance is okay
727,9,2026-01-14,Excellent benefits
728,6,2026-01-17,Excellent benefits
729,10,2026-01-09,Excellent benefits
730,5,2026-01-10,Excellent benefits
731,8,2026-01-20,Love the culture
732,9,2026-01-12,Growth opportunities are good
733,0,2026-01-12,Love the culture
734,8,2026-01-28,Great company!
735,9,2026-01-29,Great company!
736,8,2026-01-21,Love the culture
737,0,2026-01-15,Excellent benefits
738,5,2026-02-05,Work-life balance is okay
739,8,2026-01-29,Growth opportunities are good
740,9,2026-01-27,Work-life balance is okay
741,10,2026-01-15,Need better coffee
742,8,2026-02-05,Need better coffee
743,10,2026-01-28,Love the culture
