employee_id,salary,effective_date
67,364731,2026-01-11
68,90885,2020-09-29
68,153571,2022-05-29
68,175989,2024-02-29
68,255369,2025-09-29
69,73393,2024-01-22
69,130145,2025-06-22
70,108759,2024-04-09
70,126177,2025-06-09
71,93480,2018-05-05
71,113235,2019-09-05
71,151556,2021-08-05
71,290355,2022-08-05
71,363304,2024-05-05
71,715675,2025-05-05
72,327223,2023-03-12
72,639073,2024-12-12
73,65704,2022-05-23
73,86057,2024-02-23
73,158951,2025-10-23
74,131623,2016-03-09
74,220553,2018-01-09
74,374779,2019-09-09
74,738134,2020-10-09
74,1231619,2022-03-09
74,1311569,2023-08-09
74,2200818,2025-01-09
75,71655,2016-09-22
75,102976,2018-08-22
75,115552,2020-02-22
75,173913,2021-02-22
75,270014,2022-12-22
75,495236,2023-12-22
76,229772,2017-11-29
76,314679,2019-02-28
76,563407,2020-12-28
76,1115194,2022-02-28
76,1589415,2024-01-28
76,2071426,2025-11-28
77,55525,2025-02-10
78,114865,2021-05-17
78,190534,2022-06-17
78,197548,2024-02-17
78,333226,2025-11-17
79,73854,2020-04-10
79,121133,2021-11-10
79,138825,2023-08-10
79,205561,2025-02-10
80,272201,2022-09-06
80,434558,2024-02-06
80,864736,2025-07-06
81,84469,2019-10-02
81,157697,2020-11-02
81,285778,2022-09-02
81,553714,2024-07-02
81,786149,2025-07-02
82,63515,2018-02-25
82,115214,2019-10-25
82,184072,2021-09-25
82,306876,2023-08-25
82,524649,2024-10-25
83,58137,2018-10-07
83,115675,2020-08-07
83,143254,2022-04-07
83,248704,2023-12-07
83,475931,2025-01-07
84,62098,2021-09-17
84,120987,2023-01-17
84,187353,2024-08-17
85,104137,2021-03-01
85,206255,2022-12-01
85,342698,2024-02-01
85,432337,2025-04-01
86,76739,2019-02-01
86,82091,2020-12-01
86,156924,2022-08-01
86,162393,2024-02-01
86,268416,2025-02-01
87,169303,2022-12-05
88,121627,2017-04-30
88,133280,2018-12-30
88,216488,2020-09-30
88,401313,2022-07-30
88,672834,2024-01-30
88,1332599,2025-12-30
89,73977,2022-09-08
89,79115,2024-03-08
89,106785,2025-11-08
90,76642,2021-10-23
90,112307,2023-05-23
90,133025,2024-05-23
90,186180,2026-01-23
91,90543,2025-11-19
92,111267,2022-02-27
92,218530,2023-06-27
92,313279,2024-07-27
92,622749,2025-11-27
93,55577,2019-10-17
93,61009,2020-12-17
93,112248,2022-01-17
93,209705,2023-09-17
93,424318,2024-12-17
94,116677,2022-09-01
94,228841,2024-06-01
94,351610,2026-01-01
95,87096,2023-12-03
95,108465,2025-03-03
96,94994,2017-11-04
96,192261,2019-10-04
96,323567,2020-10-04
96,639370,2022-06-04
96,1143039,2023-12-04
96,1470324,2025-01-04
97,55667,2017-12-18
97,63986,2019-05-18
97,116988,2020-11-18
97,149199,2022-10-18
97,171186,2024-04-18
97,280667,2025-11-18
98,340753,2024-08-08
99,65105,2024-10-26
100,73363,2018-01-06
100,134616,2019-03-06
100,270573,2020-07-06
100,507012,2022-03-06
100,544663,2024-01-06
100,913085,2025-02-06
101,142532,2018-11-23
101,207159,2020-07-23
101,324203,2021-08-23
101,486171,2023-05-23
101,911646,2024-11-23
102,102003,2022-02-27
102,205796,2024-01-27
102,381270,2025-07-27
103,74685,2020-01-14
103,87461,2021-05-14
103,146663,2022-12-14
103,172886,2023-12-14
103,221379,2025-04-14
104,58692,2019-09-03
104,92850,2021-08-03
104,106243,2023-06-03
104,135943,2024-11-03
105,74529,2017-05-29
105,111470,2018-09-29
105,148870,2019-12-29
105,188227,2021-08-29
105,318147,2022-12-29
105,463495,2024-03-29
106,125489,2024-01-17
106,199058,2025-10-17
107,104857,2016-08-13
107,191183,2018-06-13
107,284610,2019-12-13
107,456793,2021-06-13
107,571659,2022-10-13
107,945344,2024-02-13
107,1590877,2025-11-13
108,88906,2018-01-01
108,163768,2019-12-01
108,182347,2021-06-01
109,52646,2017-08-19
109,83827,2018-10-19
109,126759,2020-05-19
109,141026,2021-09-19
109,282068,2022-09-19
109,300168,2024-02-19
109,389499,2026-01-19
110,70426,2019-01-25
110,127410,2020-09-25
110,226020,2022-07-25
110,322198,2024-06-25
110,423405,2025-10-25
111,234904,2025-07-22
112,256967,2018-12-25
112,519205,2020-10-25
112,1037717,2022-05-25
112,1779938,2023-12-25
112,2219240,2025-11-25
113,60685,2020-06-03
113,63838,2021-07-03
113,90768,2023-02-03
113,173673,2024-05-03
113,249589,2025-09-03
114,55649,2022-12-26
114,85910,2024-11-26
114,92429,2026-01-26
115,113860,2020-12-22
115,163956,2022-06-22
115,329018,2024-04-22
115,424149,2025-09-22
116,144153,2025-03-09
117,189920,2024-10-10
118,164654,2023-11-29
118,295891,2025-09-29
119,68730,2024-05-10
119,94794,2025-10-10
120,113940,2018-08-12
120,228793,2020-03-12
120,328998,2021-08-12
120,529946,2023-03-12
120,562356,2024-11-12
120,924577,2026-01-12
121,159504,2018-08-23
121,235414,2020-05-23
121,427146,2022-02-23
121,615258,2023-12-23
121,806599,2025-10-23
122,97692,2018-11-11
122,144496,2020-05-11
122,212576,2022-03-11
122,319026,2024-02-11
122,621596,2025-12-11
123,109430,2023-07-17
123,167161,2024-09-17
124,157370,2025-09-07
125,76933,2016-09-09
125,126666,2018-07-09
125,163171,2019-11-09
125,301746,2021-01-09
125,575387,2022-03-09
125,903372,2023-11-09
125,1309713,2025-02-09
126,91152,2017-09-12
126,170297,2018-10-12
126,331272,2020-03-12
126,668924,2021-12-12
126,1185435,2022-12-12
126,2251869,2024-06-12
126,3520586,2025-08-12
127,99642,2017-12-25
127,184803,2019-08-25
127,201767,2020-09-25
127,294645,2022-01-25
127,577014,2023-05-25
127,696873,2025-01-25
128,85018,2017-03-27
128,152578,2018-12-27
128,285717,2020-02-27
128,560221,2021-09-27
128,754812,2023-03-27
128,1437379,2024-11-27
129,106670,2019-03-02
129,135432,2020-08-02
129,162797,2022-02-02
129,235903,2023-05-02
129,314397,2024-12-02
129,561421,2025-12-02
130,127445,2023-10-17
130,253545,2025-09-17
131,80670,2022-08-17
131,136684,2024-01-17
131,193130,2025-12-17
132,196915,2017-05-09
132,227685,2018-08-09
132,284408,2019-08-09
132,345521,2021-02-09
132,437052,2022-08-09
132,659329,2023-10-09
132,1049133,2025-01-09
133,101130,2019-03-20
133,144066,2020-04-20
133,167627,2022-02-20
133,175708,2023-11-20
133,205275,2025-06-20
134,169729,2016-12-17
134,288935,2018-03-17
134,313811,2019-03-17
134,609604,2020-05-17
134,728476,2021-12-17
134,1278406,2023-02-17
134,2183712,2024-10-17
135,143948,2022-11-16
135,196668,2024-06-16
135,232817,2025-09-16
136,92959,2024-10-04
136,143419,2025-12-04
137,126228,2025-01-24
138,94956,2016-06-17
138,165532,2017-07-17
138,324933,2019-05-17
138,399260,2021-02-17
138,744380,2022-11-17
138,1436088,2024-01-17
138,1686673,2025-08-17
139,271668,2019-07-19
139,386536,2021-06-19
139,531334,2022-10-19
139,817428,2024-06-19
140,90745,2018-10-26
140,104522,2020-07-26
140,172268,2022-02-26
140,343641,2023-10-26
140,571277,2025-07-26
141,95774,2021-10-03
141,134432,2023-06-03
141,240158,2024-09-03
141,347017,2025-12-03
142,66285,2025-05-18
143,51249,2021-01-29
143,99691,2022-12-29
143,106320,2024-09-29
144,145904,2024-10-26
145,91164,2021-10-27
145,169254,2023-03-27
145,279741,2024-11-27
146,231462,2023-11-18
146,289030,2025-09-18
147,95161,2022-11-10
147,156297,2024-04-10
147,268515,2025-04-10
148,151189,2023-10-20
148,202027,2025-01-20
148,361720,2026-01-20
149,118594,2020-09-10
149,172849,2021-12-10
149,179870,2023-05-10
149,205877,2025-03-10
150,93626,2018-11-21
150,102241,2020-04-21
150,121573,2021-06-21
150,209395,2022-07-21
150,407810,2024-03-21
150,453578,2025-06-21
151,228671,2024-07-10
151,412619,2025-07-10
152,168934,2017-03-06
152,292210,2018-06-06
152,447080,2019-12-06
152,649292,2021-11-06
152,772381,2022-11-06
152,829445,2024-09-06
153,241704,2019-09-30
153,379606,2021-01-30
153,630571,2022-01-30
153,1074456,2023-11-30
153,1839240,2025-03-30
154,94565,2023-02-02
154,135575,2024-10-02
155,78757,2024-05-25
155,100348,2025-07-25
156,109822,2025-10-06
157,70421,2025-02-01
157,137625,2026-02-01
158,45216,2020-08-28
158,77223,2022-05-28
158,115457,2023-12-28
158,158977,2025-04-28
159,104211,2018-11-28
159,192327,2019-12-28
159,306588,2020-12-28
159,503117,2022-04-28
159,586202,2023-09-28
159,925422,2024-12-28
159,1544909,2025-12-28
160,190643,2019-10-29
160,350561,2021-03-29
160,447410,2022-08-29
160,750494,2023-08-29
160,1441457,2025-06-29
161,257287,2021-02-28
161,396790,2022-08-28
161,739765,2024-03-28
161,1007937,2025-04-28
162,48444,2025-11-15
163,75191,2019-05-02
163,125145,2020-07-02
163,221110,2022-06-02
163,267369,2024-03-02
163,480667,2025-11-02
164,255910,2023-06-16
164,348499,2025-01-16
164,661172,2026-01-16
165,82574,2019-11-27
165,163200,2021-08-27
165,215513,2023-06-27
165,246304,2025-03-27
166,76352,2019-12-12
166,103853,2021-07-12
166,146478,2022-09-12
166,214856,2023-10-12
166,368402,2025-05-12
167,51540,2018-03-13
167,59706,2019-03-13
167,113397,2020-07-13
167,123538,2021-10-13
167,181271,2023-01-13
167,342183,2024-02-13
167,667211,2025-10-13
168,174086,2019-11-12
168,292543,2021-08-12
168,407733,2023-06-12
168,553385,2024-08-12
168,790726,2025-08-12
169,96053,2016-10-15
169,192148,2018-06-15
169,251360,2020-05-15
169,460149,2021-06-15
169,767396,2023-01-15
169,1256964,2024-05-15
169,1427405,2025-11-15
170,112235,2023-06-08
170,165857,2025-04-08
171,127528,2024-08-25
171,222812,2025-10-25
172,55810,2020-01-30
172,95304,2021-08-30
172,144134,2022-12-30
172,157291,2024-08-30
172,248671,2026-01-30
173,156216,2019-09-22
173,175235,2020-09-22
173,346430,2022-01-22
173,507462,2023-07-22
173,703712,2024-07-22
174,211653,2021-04-10
174,218770,2023-01-10
174,418466,2024-08-10
175,81998,2025-07-01
176,199174,2022-10-14
176,336031,2024-03-14
176,586849,2025-06-14
177,279689,2024-10-28
178,212431,2019-11-06
178,253871,2021-02-06
178,325961,2022-06-06
178,516323,2024-04-06
178,942974,2025-09-06
179,84421,2019-06-28
180,114923,2019-06-10
180,141505,2021-04-10
180,209843,2022-12-10
180,358607,2024-05-10
181,45579,2017-05-04
181,75052,2019-01-04
181,79987,2020-07-04
181,108669,2021-08-04
181,164948,2022-10-04
181,253036,2024-02-04
181,494598,2025-04-04
182,47846,2020-08-21
182,57350,2021-11-21
182,106707,2022-12-21
182,168253,2024-03-21
182,276598,2025-04-21
183,112938,2019-03-22
183,203365,2020-12-22
183,307437,2022-02-22
183,611643,2023-06-22
183,1214918,2024-11-22
184,119275,2025-08-12
185,91132,2020-07-04
185,154134,2021-08-04
185,193783,2023-02-04
185,384131,2024-02-04
185,483193,2025-10-04
186,116738,2021-07-12
186,161070,2022-07-12
186,244983,2024-06-12
187,340824,2019-04-28
187,473123,2020-12-28
187,583316,2022-08-28
187,967573,2024-05-28
187,1177275,2026-01-28
188,56238,2020-05-17
188,59373,2022-02-17
188,100643,2023-04-17
188,162157,2024-09-17
189,336233,2017-02-11
189,628046,2018-03-11
189,1082909,2019-08-11
189,1823320,2021-02-11
189,2007222,2022-07-11
189,3754771,2024-03-11
189,6002882,2026-01-11
190,309940,2023-04-06
190,480692,2025-03-06
191,204319,2020-07-13
192,103580,2017-01-26
192,180760,2018-09-26
192,331385,2020-01-26
192,543040,2021-08-26
192,688106,2022-11-26
192,1381086,2024-06-26
192,2686937,2026-01-26
193,56445,2018-10-12
193,95291,2020-06-12
193,122504,2021-09-12
193,216658,2023-03-12
194,136291,2020-09-11
194,163602,2022-08-11
194,231695,2023-09-11
194,278877,2024-10-11
195,135914,2020-09-22
195,247588,2022-04-22
195,442587,2024-02-22
195,850363,2025-09-22
196,80571,2023-11-25
196,102347,2024-11-25
196,191855,2025-12-25
197,172498,2019-10-12
197,178328,2020-12-12
197,212384,2022-06-12
197,274420,2023-09-12
197,417468,2025-07-12
198,94898,2017-08-20
198,169613,2019-07-20
198,275249,2021-05-20
198,414801,2022-12-20
198,665015,2024-01-20
198,872315,2025-06-20
199,74243,2018-08-03
199,141275,2019-10-03
199,236687,2020-11-03
199,369834,2021-11-03
199,724517,2023-05-03
200,141748,2018-06-12
200,210221,2019-11-12
200,264680,2021-07-12
200,415361,2022-11-12
200,702409,2024-04-12
200,1389757,2025-11-12
201,96658,2025-11-27
202,102351,2017-03-18
202,163301,2018-09-18
202,330606,2019-11-18
202,434917,2021-07-18
202,448073,2023-01-18
202,678708,2024-08-18
203,152496,2024-06-30
204,129543,2019-07-19
204,210951,2021-02-19
204,347275,2022-11-19
204,453662,2024-03-19
204,528274,2025-07-19
205,98167,2023-01-16
205,165266,2024-06-16
206,145751,2025-10-23
207,156271,2022-07-27
207,299344,2024-06-27
208,281943,2019-04-05
208,326882,2021-02-05
208,563965,2022-11-05
208,751587,2024-07-05
209,62893,2022-11-23
209,118977,2024-03-23
210,111544,2025-01-17
211,286841,2019-11-21
211,487189,2020-12-21
211,550159,2022-09-21
211,1060882,2024-08-21
212,59846,2019-05-05
212,108855,2020-06-05
212,171765,2021-09-05
212,255595,2023-02-05
212,348470,2024-11-05
213,85345,2021-04-27
213,147969,2022-04-27
213,212946,2023-10-27
213,406431,2025-01-27
214,186050,2021-05-13
214,374934,2023-02-13
214,747534,2024-02-13
214,1269779,2025-05-13
215,96795,2020-07-12
215,101523,2021-09-12
215,136370,2023-03-12
215,193842,2024-05-12
215,302844,2025-08-12
216,71875,2020-04-13
216,80465,2021-05-13
216,126221,2022-05-13
216,224019,2023-08-13
216,426888,2024-10-13
216,534652,2025-10-13
217,82099,2020-02-11
217,107794,2021-09-11
217,121748,2023-07-11
217,127709,2025-06-11
218,201699,2016-03-12
218,310146,2017-08-12
218,489722,2018-12-12
218,916505,2020-07-12
218,1166487,2022-03-12
218,1940267,2023-06-12
218,2694070,2024-12-12
219,82088,2019-07-19
219,126752,2020-10-19
219,146876,2021-10-19
219,152946,2022-12-19
219,182763,2024-09-19
220,41824,2021-03-28
220,73207,2022-07-28
220,82154,2023-11-28
220,113036,2025-10-28
221,90162,2018-04-15
221,164471,2019-08-15
221,288436,2021-04-15
221,563108,2022-10-15
221,735003,2024-02-15
221,830090,2025-08-15
222,92910,2020-10-09
222,137999,2022-04-09
222,237284,2023-11-09
222,418833,2025-02-09
223,105561,2017-11-02
223,179016,2019-02-02
223,334438,2020-10-02
223,380430,2021-12-02
223,502381,2023-02-02
223,821487,2024-09-02
223,1604574,2026-01-02
224,42499,2018-05-30
224,64102,2019-05-30
224,103083,2020-05-30
224,205332,2022-01-30
224,359653,2023-05-30
224,405210,2024-10-30
224,629251,2025-12-30
225,140638,2023-06-25
225,278145,2024-09-25
225,322226,2025-12-25
226,56104,2022-03-17
226,113701,2023-10-17
226,143754,2025-09-17
227,51865,2020-10-05
227,77973,2021-10-05
227,154534,2023-06-05
227,275793,2025-01-05
228,54127,2019-12-20
228,87312,2021-11-20
228,111622,2023-09-20
228,157648,2025-05-20
229,126133,2024-10-03
230,111843,2024-12-13
231,117634,2023-09-14
231,198831,2024-10-14
231,315490,2025-10-14
232,120884,2021-11-24
232,155490,2023-09-24
232,240851,2025-06-24
233,65074,2016-03-07
233,128271,2017-07-07
233,193871,2018-07-07
233,286711,2019-10-07
233,368749,2020-12-07
233,599346,2022-06-07
233,910195,2023-06-07
233,1605869,2025-02-07
234,163931,2021-08-10
234,194757,2023-03-10
234,233921,2024-08-10
235,154724,2021-08-11
235,249877,2022-12-11
235,431749,2024-03-11
235,811327,2025-04-11
236,124259,2022-12-16
236,188302,2024-06-16
236,267420,2025-11-16
237,193181,2023-06-25
238,145142,2025-07-27
239,70215,2024-10-13
240,40005,2017-02-21
240,45707,2018-06-21
240,69000,2020-02-21
240,92253,2021-05-21
240,101593,2022-07-21
240,184372,2023-12-21
240,314820,2025-10-21
241,143122,2025-11-01
242,140442,2019-12-31
242,273232,2021-11-30
242,497632,2023-03-30
242,833722,2024-11-30
243,177686,2022-02-11
243,347781,2023-06-11
243,630615,2025-01-11
244,119521,2018-03-27
244,200824,2019-06-27
244,363002,2020-06-27
244,576087,2022-03-27
244,735279,2023-05-27
244,1126231,2024-06-27
244,2140354,2025-06-27
245,188339,2018-09-10
245,323430,2020-01-10
245,404297,2021-08-10
245,668179,2022-11-10
245,1183444,2024-10-10
245,2095717,2025-10-10
246,79218,2024-09-05
247,74397,2016-04-14
247,116096,2017-08-14
247,154890,2018-09-14
247,189764,2020-01-14
247,236143,2021-12-14
247,255702,2023-08-14
247,398527,2025-05-14
248,176984,2024-12-16
249,36551,2021-08-04
249,45358,2023-05-04
249,65933,2024-06-04
250,124593,2018-01-20
250,246862,2019-06-20
250,423527,2020-11-20
250,650790,2022-08-20
250,1053692,2023-11-20
250,1275003,2025-07-20
251,262675,2020-03-24
251,473555,2022-02-24
251,838385,2023-11-24
251,1193652,2025-07-24
252,277023,2020-01-18
252,424826,2021-08-18
252,739489,2022-09-18
252,1253330,2024-03-18
252,2272116,2025-07-18
253,122070,2017-06-13
253,219992,2019-04-13
253,412546,2020-11-13
253,447602,2022-09-13
253,607839,2023-10-13
253,1126968,2025-01-13
253,1651414,2026-01-13
254,109041,2016-07-23
254,141286,2018-01-23
254,231784,2019-01-23
254,328890,2020-07-23
254,385095,2022-04-23
254,405549,2023-06-23
254,545262,2025-05-23
255,210437,2016-03-24
255,370407,2018-01-24
255,730247,2019-09-24
255,961788,2021-03-24
255,1907052,2022-07-24
255,3709667,2023-12-24
255,5713456,2025-11-24
256,100245,2020-07-06
256,108415,2021-11-06
256,136265,2022-12-06
256,199193,2024-08-06
257,59079,2020-09-02
257,66818,2021-09-02
257,128947,2023-03-02
257,211119,2024-11-02
258,110017,2025-09-24
259,132370,2023-11-10
259,240870,2025-06-10
260,83367,2020-07-13
260,87833,2022-04-13
260,128659,2023-09-13
260,186477,2024-10-13
260,247443,2025-10-13
261,113477,2021-01-21
261,146293,2022-08-21
261,248637,2023-08-21
261,432301,2025-07-21
262,44683,2016-02-20
262,73158,2017-11-20
262,108735,2018-11-20
262,201205,2020-09-20
262,255727,2022-07-20
262,494531,2023-09-20
262,632746,2025-07-20
263,88651,2024-02-12
263,120252,2025-11-12
264,39614,2018-12-07
264,65009,2020-03-07
264,95638,2021-09-07
264,159528,2023-06-07
264,230655,2025-01-07
265,125142,2019-05-05
265,153938,2020-05-05
265,291558,2021-07-05
265,433508,2023-05-05
265,731793,2024-12-05
266,77125,2017-09-28
266,147875,2018-12-28
266,155951,2020-11-28
266,268956,2022-06-28
266,355157,2023-12-28
266,683027,2024-12-28
267,78862,2025-12-29
268,102703,2018-04-09
269,109617,2020-12-15
269,140201,2022-01-15
269,179462,2023-11-15
270,89257,2023-07-30
270,108960,2025-03-30
271,161160,2025-03-14
272,65508,2020-05-18
272,106716,2022-02-18
272,206794,2023-12-18
272,397804,2024-12-18
273,56449,2025-12-09
274,103950,2023-12-01
274,133879,2025-08-01
275,102795,2024-04-17
276,61239,2017-09-21
276,116195,2018-11-21
276,223376,2020-09-21
276,403649,2022-01-21
276,804132,2023-05-21
276,1153966,2024-12-21
277,56405,2020-08-27
277,92855,2021-12-27
277,111237,2023-07-27
277,184165,2025-02-27
278,62877,2025-03-27
279,80262,2024-04-13
279,83755,2025-08-13
280,220262,2023-10-15
280,395863,2025-09-15
281,146083,2025-01-05
282,169733,2019-06-14
282,292623,2021-02-14
282,424211,2022-07-14
282,571622,2023-09-14
282,753288,2025-06-14
283,110610,2023-12-01
283,153643,2024-12-01
284,57863,2016-03-06
284,103745,2018-02-06
284,187824,2019-08-06
284,278321,2020-09-06
284,435298,2021-10-06
284,574111,2022-11-06
284,686663,2024-05-06
285,248376,2025-02-27
286,76529,2017-01-20
286,128688,2018-04-20
286,149448,2019-11-20
286,203379,2021-08-20
286,226478,2022-10-20
286,347531,2024-08-20
287,79821,2016-12-07
287,148284,2018-02-07
287,261278,2019-08-07
287,305848,2021-07-07
287,439873,2022-07-07
287,627961,2024-04-07
287,858968,2025-06-07
288,91071,2024-02-07
288,158650,2025-05-07
289,66614,2022-08-11
289,86179,2023-10-11
289,97946,2025-04-11
290,271729,2024-05-06
290,513490,2025-06-06
291,136958,2018-09-05
291,271484,2020-03-05
291,426980,2021-11-05
291,515351,2022-11-05
291,777005,2024-03-05
291,1336228,2025-10-05
292,113460,2020-01-24
292,170187,2021-04-24
292,195270,2022-12-24
292,325100,2024-06-24
292,453291,2025-06-24
293,67631,2020-03-20
293,115037,2021-06-20
293,161694,2022-07-20
293,189432,2023-09-20
293,321312,2025-07-20
294,41021,2026-01-23
295,71395,2024-10-27
296,57249,2024-12-29
297,216436,2017-08-15
297,382424,2019-07-15
297,759424,2020-11-15
297,1080402,2022-01-15
297,1386631,2023-09-15
297,2094782,2025-05-15
298,94593,2021-05-20
298,149822,2022-05-20
298,276357,2023-09-20
298,343103,2024-12-20
299,160471,2023-09-05
300,146665,2020-03-17
300,230144,2022-01-17
300,293329,2023-12-17
300,491418,2025-05-17
301,174246,2025-05-25
302,141284,2023-08-04
302,268687,2024-12-04
303,143708,2021-03-18
303,243162,2022-11-18
303,392767,2024-09-18
304,73787,2021-11-02
304,98638,2023-02-02
304,149150,2024-02-02
304,208119,2025-03-02
305,165887,2022-05-12
305,294179,2024-02-12
305,464990,2025-04-12
306,47391,2025-12-06
307,50321,2022-04-29
307,57240,2023-12-29
307,99880,2025-03-29
308,51005,2023-10-23
308,56711,2025-04-23
309,61907,2022-02-20
